,start_lat,start_lng,end_lat,end_lng
626774,41.94362402,-87.664028525,41.98,-87.66
729710,41.78091096424803,-87.57632374763489,41.75182,-87.565211
749095,41.857611,-87.619407,41.876243,-87.624426
399121,41.943707,-87.64891316666667,41.952833,-87.649993
591820,41.90096039,-87.62377664,41.929546,-87.643118
138915,41.900363,-87.696704,41.946264,-87.731023
638989,41.894664526,-87.638236046,41.89,-87.64
14999,41.93,-87.75,41.953393,-87.732002
481018,41.9114125,-87.638698,41.92019556200566,-87.69265919923781
201738,41.88577925240433,-87.65102460980414,41.88917683258,-87.6385057718
379418,41.963982,-87.638181,41.98404411519213,-87.65228122472763
687919,41.98,-87.66,41.98,-87.65
21257,41.91172233333333,-87.62674966666667,41.973815,-87.65966
688408,41.9,-87.68,41.9,-87.68
625178,41.913865,-87.648755,41.929143,-87.649077
295828,41.9492645,-87.65437916666667,41.924161029067626,-87.64638036489487
27620,41.8915065,-87.6260765,41.891466,-87.626761
107742,42.001084,-87.661228,42.001785,-87.688829
454068,41.91552,-87.687022,41.872187,-87.661501
605136,41.952833166666665,-87.65007533333333,41.932418,-87.652705
183993,41.89149833333333,-87.62669533333333,41.88,-87.62
253477,41.9267559875,-87.6344287848,41.90096039,-87.62377664
570892,41.911722,-87.626804,41.911722,-87.626804
7773,41.901315,-87.677409,41.900363,-87.696704
85705,41.87461583333334,-87.65701883333334,41.868563,-87.686234
604644,41.9256018819,-87.6537080423,41.932418,-87.652705
467932,41.88400333333333,-87.62441216666667,41.881892,-87.648789
803580,41.890679955,-87.618530035,41.802406,-87.586924
198894,41.793242,-87.587782,41.802406,-87.586924
825343,41.93,-87.67,41.92,-87.68
304002,41.87758683333333,-87.6494785,41.87772613,-87.65478743
410322,41.928887,-87.658971,41.9256018819,-87.6537080423
217145,41.98406233333333,-87.660331,41.99086044812557,-87.66972362995148
682235,41.89,-87.63,41.89,-87.63
333414,41.8922705,-87.61194283333333,41.90230870122,-87.627690528
687705,41.90978666666667,-87.70531833333334,41.9,-87.7
77846,41.886151552,-87.624828577,41.885837,-87.6355
716403,41.898969,-87.629912,41.886021,-87.630876
368136,41.94,-87.65,41.93314,-87.64776
158568,41.90230870122,-87.627690528,41.929546,-87.643118
239116,41.88121533333333,-87.6167655,41.893992,-87.629318
493879,41.93,-87.63,41.892278,-87.612043
239546,42.058239,-87.677432,42.052939,-87.673447
365697,41.96791983333333,-87.65012516666667,41.954383,-87.648043
700961,41.85,-87.64,41.84,-87.64
829407,41.93,-87.69,41.95,-87.66
203317,41.86722595682,-87.6153553902,41.866095,-87.607267
471826,41.883601657275165,-87.64862671494483,41.878166,-87.631929
255972,41.89218533333333,-87.61190066666667,41.90096039,-87.62377664
624517,41.867405833333336,-87.64866366666666,41.86,-87.68
548302,41.903222,-87.634324,41.89434513742426,-87.62279838323593
205651,41.867984666666665,-87.62301633333334,41.87785,-87.62408
229485,41.89766,-87.62351,41.89766,-87.62351
232819,41.92669,-87.697668,41.907655,-87.672552
804424,41.99415066666667,-87.68951316666667,41.98,-87.69
551761,41.88195316666667,-87.64043933333333,41.89434513742426,-87.62279838323593
14133,41.92,-87.63,41.872773,-87.623981
342149,41.912133,-87.634656,41.911386,-87.638677
581064,41.93245516666666,-87.65268016666667,41.928712,-87.653833
630579,41.875066333333336,-87.67323266666666,41.88,-87.67
558142,41.857813,-87.62455,41.857813,-87.62455
