,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED
757231,40.650448,-73.91111,1.0
469718,40.765663,-73.97827,0.0
827438,40.681503,-73.904106,0.0
196935,40.8721,-73.849884,0.0
747399,40.76093,-73.96914,0.0
542395,40.84269,-73.88737,0.0
56453,40.768753,-73.768936,0.0
259430,40.794735,-73.96988,0.0
262068,40.853477,-73.82622,1.0
367513,40.69261,-73.96973,0.0
731242,40.715538,-73.74761,0.0
415698,40.861862,-73.91282,0.0
109950,40.76019,-73.9329,2.0
243295,40.735733,-73.806656,0.0
146619,40.75361,-73.90393,0.0
28428,40.679733,-73.96811,1.0
601172,40.683002,-73.98227,0.0
668765,40.644463,-73.94792,0.0
329087,40.673244,-73.737946,2.0
320470,40.653267,-73.93927,0.0
664487,40.76663,-73.88903,0.0
358958,40.670197,-73.9954,1.0
374393,40.761692,-73.91789,0.0
147832,40.58974,-73.96725,0.0
340955,40.663685,-73.803085,0.0
212156,40.715485,-73.98514,0.0
485674,40.876022,-73.83387,0.0
824023,40.72158,-73.94167,0.0
268174,40.756046,-73.88073,4.0
274069,40.678905,-73.9164,0.0
614051,40.66919,-73.99682,0.0
265573,40.792408,-73.94068,0.0
105000,40.66992,-73.9857,0.0
726094,0.0,0.0,0.0
647812,40.57597,-73.84801,0.0
686814,40.867794,-73.929985,0.0
369524,40.691162,-73.84598,2.0
690763,40.77537,-73.98772,0.0
755701,40.80297,-73.96387,0.0
280769,40.678844,-73.86618,0.0
117465,40.77882,-73.953995,0.0
151232,40.61384,-73.981445,0.0
837285,40.7219776,-73.9599371,1.0
641827,,,0.0
685976,40.676743,-73.93316,1.0
714218,40.77234,-73.95269,0.0
676235,40.82497,-73.92228,0.0
565935,40.6706879,-73.9170232,0.0
421966,40.60969,-73.940125,0.0
485534,40.668377,-73.92012,0.0
47827,40.822704,-73.89391,0.0
358555,40.693226,-73.96785,0.0
347941,40.840797,-73.88311,0.0
644474,40.790318,-73.81632,0.0
257389,40.753216,-73.92258,1.0
604043,40.895374,-73.86356,1.0
334895,40.689697,-73.98296,0.0
703810,40.651512,-74.00734,0.0
388261,,,0.0
560510,40.73245,-73.8790348,0.0
479649,40.82077,-73.95459,1.0
840928,40.6915109,-73.7298855,1.0
178267,40.808132,-73.916595,0.0
511837,40.66552,-73.74467,0.0
275575,40.737568,-74.00975,0.0
579512,40.7132,-73.97723,0.0
226907,40.70089,-73.75708,0.0
25316,40.640823,-73.96531,0.0
174167,,,1.0
684929,40.73251,-73.857056,0.0
480781,40.78459,-73.94198,0.0
789876,40.741665,-74.00114,0.0
758413,40.84921,-73.90011,5.0
143289,40.68569,-73.93559,1.0
523331,40.591755,-73.9083,0.0
752374,40.660538,-73.96064,0.0
476442,40.815933,-73.90992,0.0
37379,40.624958,-74.145775,0.0
746799,40.775562,-73.95035,0.0
432155,40.906746,-73.90039,0.0
346647,40.68327,-73.95016,0.0
22030,40.695892,-73.99555,1.0
69875,40.643482,-73.94491,0.0
341735,40.89587,-73.88132,0.0
695914,40.67289,-73.81433,0.0
674289,40.700123,-73.91632,1.0
169935,40.690907,-73.95542,0.0
844852,40.83112,-73.873634,0.0
25942,40.6163,-74.13983,0.0
410691,40.635086,-73.980156,0.0
131492,40.756382,-73.96433,1.0
770515,40.724136,-73.992615,0.0
202962,40.876152,-73.8359,1.0
249432,40.766815,-73.83038,1.0
306309,40.64254,-73.87652,0.0
759748,40.595585,-73.93806,0.0
594672,40.561077,-74.16984,0.0
598010,40.81795,-73.95407,0.0
750045,,,1.0
126961,40.710068,-73.79462,0.0
555637,40.6879349,-73.9153935,0.0
738803,40.749844,-73.938995,0.0
397922,40.665993,-73.8858,1.0
173529,40.758343,-73.73062,0.0
143706,40.594765,-73.75125,1.0
473548,0.0,0.0,0.0
471241,40.815044,-73.92743,0.0
775059,40.61383,-74.14364,0.0
49181,40.84309,-73.93828,1.0
812469,,,0.0
534492,40.711227,-73.72826,1.0
409447,40.72337,-73.8483,0.0
528006,40.653873,-74.008156,0.0
687853,40.716454,-73.98058,0.0
58276,40.68775,-73.79039,3.0
408354,40.663353,-73.87464,3.0
774189,40.67337,-73.7904,0.0
127837,40.761997,-73.929825,0.0
198493,,,0.0
386630,40.65008,-73.96101,1.0
528188,40.68966,-74.00047,0.0
147393,40.730442,-73.91367,0.0
103284,40.72621,-73.920525,0.0
316384,40.651676,-74.010635,0.0
491692,40.67267,-73.99002,0.0
220416,40.626568,-73.970924,0.0
562414,40.7560598,-73.9616239,0.0
741284,40.76889,-73.9821,0.0
686870,40.74198,-73.82475,0.0
190233,40.672226,-73.94472,0.0
769322,40.738194,-73.8492,0.0
13771,40.843365,-73.91545,5.0
708518,40.730595,-73.950005,0.0
76479,40.611256,-73.974525,0.0
765838,40.60059,-73.96137,0.0
